GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Users,com.users,UsersApplication,5,3,0,0,2,1,1,1,1,1
Users,com.users.utils,Base64Utils,7,14,0,0,2,2,1,2,1,2
Users,com.users.outdto,UpdateUserResponse,34,193,23,15,0,7,19,14,0,14
Users,com.users.outdto,UserResponse,46,273,32,22,0,9,26,19,0,18
Users,com.users.outdto,AddressResponse,48,250,33,21,0,7,27,17,0,17
Users,com.users.config,CorsConfig,0,29,0,0,0,6,0,2,0,2
Users,com.users.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
Users,com.users.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
Users,com.users.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
Users,com.users.exception,GlobalExceptionHandler,75,3,0,0,12,1,5,1,5,1
Users,com.users.exception,GlobalExceptionHandler.ErrorResponse,207,0,32,0,6,0,29,0,13,0
Users,com.users.exception,AddressNotFoundException,0,4,0,0,0,2,0,1,0,1
Users,com.users.entities,UserRole,0,24,0,0,0,2,0,1,0,1
Users,com.users.entities,User,62,322,43,27,0,9,35,21,0,21
Users,com.users.entities,Address,48,250,33,21,0,7,27,17,0,17
Users,com.users.dto.conversion,DtoConversion,7,174,1,1,2,47,2,7,1,7
Users,com.users.controller,AddressController,0,100,0,0,0,21,0,7,0,7
Users,com.users.controller,UserController,0,117,0,0,0,25,0,8,0,8
Users,com.users.indto,UserRequest,48,250,33,21,0,7,27,17,0,17
Users,com.users.indto,AddressRequest,41,214,28,18,0,6,23,15,0,15
Users,com.users.indto,UpdateUserRequest,27,142,18,12,0,4,15,11,0,11
Users,com.users.indto,UserLoginRequest,20,115,13,9,0,5,11,10,0,10
Users,com.users.constants,UserConstants,7,0,0,0,2,0,1,0,1,0
Users,com.users.service.impl,AddressServiceImpl,0,110,0,0,0,27,0,9,0,9
Users,com.users.service.impl,UserServiceImpl,0,168,1,5,0,36,1,11,0,9
